,Document,ClusterLabel
168,“感同身受的窒息感。” #王一博 #冰雨火 #风起洛阳 文案视频cr：Demon#好剧推荐# 有翡 李洋洋洋洋liyang的微博视频,8
169,"虐起来了呀，救命！！！！！！！
#风起洛阳##王一博##宋轶# 发光的魅力女神的微博视频",14
170,"啊啊啊啊啊啊啊啊啊啊啊啊啊啊甜死我了！！！！！
#风起洛阳##王一博##宋轶# 发光的魅力女神的微博视频",14
171,"夜景真的绝了~
#风起洛阳##给视频加buff# 发光的魅力女神的微博视频",14
172,"王一博wyb#王一博风起洛阳# wyb#风起洛阳#

在无法预料的未来里，我们平平安安就好。王一博平安喜乐

@UNIQ-王一博",12
173,#风起洛阳##神都洛阳#风起洛阳 神都“洛”阳，加油！挺住！,1
174,#风起洛阳##神都洛阳#风起洛阳 神都“洛”阳，加油！挺住！,1
175,"#风起洛阳# wyb#王一博风起洛阳#

穿过大海绕过高山，你在哪里，终点就在哪里。@UNIQ-王一博",12
176,"风起洛阳空镜
#风起洛阳##王一博# 迷惑鉴定完毕的微博视频",8
177,"洛阳 | 梦巡十三朝古都

分享一组很喜欢的live瞬间
#洛阳##洛阳旅游##河南##风起洛阳#",1
178,"看了一晚上#唐朝诡事录# …将军的表演，差点儿火候呀喂，声音跟表情动作不在一个情绪程度上…
那个千娇百媚十一娘，是不是#风起洛阳# 里那个赌场女老板？",4
179,"#风起洛阳##黄轩#
高秉烛掌握了求白浪办事的秘诀...
白浪就是全剧第一的小可爱，不接受反驳 魔法水果糖的微博视频",6
180,"总要去趟洛阳吧📷
逛逛洛邑古城🏯
尝尝十字街的酒酿桂花小汤圆 🍧
欣赏一下龙门石窟的壮美 🎐
感受一下盛世大唐的风光✨
洛阳·龙门石窟景区 #风起洛阳#",4
181,"没有伞的孩子也要继续奔跑啊！cr：芷寒

#王一博##风起洛阳# 爬墙娱乐的微博视频",8
182,"宋轶

▹ 宋轶 ┆#风起洛阳# x 柳然",13
183,"#风起洛阳#
“加入联昉，需断七情绝六欲，不得婚配生子....""
这加入联昉怎么跟当和尚做太监似的，都要断子绝孙。严重怀疑公子楚是不是自宫了 #亿点曝光计划# 皮皮哈影视精选的微博视频",10
184,#风起洛阳# 宋轶说柳然是有智慧的恋爱脑。确实是这样的！她爱百里弘毅，她的世界里全是他，但是她还是会有一些女孩子的小心思去对付百里弘毅，完全就是沉浸在自己爱情里的小女生，在她心里她是二郎永远是对的 #亿点曝光计划# 皮皮哈影视精选的微博视频,10
185,"#风起洛阳# 黄轩 王一博|花絮
没想到高秉烛和百里弘毅在面对女 尸 时还有如此谦让的心理过程，都想让对方来 最后两人都找到了角色这样做的心理支撑，一个觉得是女的不好意思上手，一个觉得对方更专业所以让对方来。 #亿点曝光计划# 皮皮哈影视精选的微博视频",10
186,洛阳#风起洛阳# 一春一秋一境迁 洛阳·隋唐洛阳城应天门遗址 勒馬聼風的微博视频,1
187,"#风起洛阳# 预告
今晚就想康康柳七娘是咋有身孕的？嘿嘿嘿~ #亿点曝光计划# 皮皮哈影视精选的微博视频",10
188,"#风起洛阳# 花絮
哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈原来拍的时候王一博也被小百里的那句“馎饦做的太咸了”逗笑了 #亿点曝光计划# 皮皮哈影视精选的微博视频",4
189,#风起洛阳# 妈耶！武思月叫高秉烛，高秉烛一回头，音乐都变甜了 导演好会哦！ #亿点曝光计划# 皮皮哈影视精选的微博视频,10
190,#风起洛阳# 看到武思月被箭射中，我想冲进屏幕对高秉烛和武大郎喊：你别回忆啦！你俩也别喊，别哭了！我脚得月华君还能抢救一下，快叫大夫啊！！！ #亿点曝光计划# 皮皮哈影视精选的微博视频,10
191,"补看了《#风起洛阳#》后几集✓
最后的大反转反派
竟然是二郎大哥百里宽仁
和思月大哥武攸决
这两个大哥真是执念太深了

大唐繁华 盛世神都
可惜的是从此神都再无武思月
高秉烛你就替她守护好这个神都吧

二郎和七娘 江湖再见啦

#近日追剧##好剧推荐#",4
192,"通关了一款真人探案游戏《神都不良探》，最后结局令人不解。据说此游戏是《风起洛阳》电视剧的衍生品，对这个故事背景感兴趣了，又去追了剧。

实际上演员、人物，其实对不上，游戏是根据电视剧改编的，借助了场景、故事背景。不过我玩的挺起劲，看的也挺起劲（电视剧 尚可）。

游戏决策部分有点少，纯玩、剧情偏多一点，感觉没几章就通关了，但是剧情设计让我期待会不会有持续更新。

类似游戏求推荐。

#神都不良探##风起洛阳#",4
193,"#风起洛阳##黄轩##王一博##宋茜##宋轶#
百里弘毅与武思月为高秉烛打掩护，连番阻碍柳襄离席，柳襄：我想回个家可太难了 魔法水果糖的微博视频",6
194,"#风起洛阳##王一博##黄轩#
神都小分队只集结了高秉烛和百里弘毅，这两个男人的办案风格是...
高秉烛百里弘毅绑手查案 魔法水果糖的微博视频",6
195,"“这是我夫君，百里二郎”
#王一博##宋轶##风起洛阳# 笑霸笑不停的微博视频",14
196,"一声声的二郎，怎么能让人不动心呢
#王一博##宋轶##风起洛阳# 笑霸笑不停的微博视频",14
197,"虐起来了呀，救命！！！！！！！
#风起洛阳##王一博##宋轶# 笑霸笑不停的微博视频",14
198,"宋轶┆柳然┆#风起洛阳#

🦋ྀི美梦皆有迹寻 夏日必有回音",10
199,#风起洛阳#风起洛阳好好看！还有大家记得去看洛阳的明堂和天堂,4
200,"宋轶┆柳然┆#风起洛阳#

向海风许愿，在山海相见",10
201,#盛世美颜##风起洛阳#既做头牌，有何能耐！这才是花魁艳而不俗的模样吧！ 爱追剧的小胡的微博视频,10
202,"小剧评📺
#风起洛阳#
#黄轩# & #宋茜#
悬疑 破案

讲述了
男主不良人 搭档 女主内卫
和工部尚书家的二郎 一起破案的故事

制作精良 背景道具感觉花了大手笔
前期 高开高走 一集接一集 根本停不下来
各种猜boss
但后半部分 有些低走
特别是结局 太突然了

喜欢宋轶饰演的七娘
演得活灵活现 敢爱
终于“感化” 铁石头 二郎
虽然结局有些猝不及防
但整体还是很推荐

PS：同系列的#风起陇西#也很不错！",4
203,洛阳#风起洛阳# 孟津宜苏山，据《山海经》记载：古称华胥古都，神农植五谷于此。 洛阳·炎帝故里宜苏山 勒馬聼風的微博视频,1
204,洛阳#风起洛阳# 孟津宜苏山，据《山海经》记载：古称华胥古都，神农植五谷于此。 洛阳·炎帝故里宜苏山 勒馬聼風的微博视频,1
205,#风起洛阳##凡人修仙传# 因为不怎么关注国产剧，最近国漫也没怎么看（少锦和眷思量依然是心中白月光），所以刷到前者涉嫌抄袭后者的武打戏我才开始关注到。此外也因为刚在看著作权法，但是我怎么也想不通武打动作它到底是属于著作权保护的哪一项内容。及如果真的构成侵权，是侵犯了著作权哪一项内容。,4
206,很忙，但没忘记爱你#王一博 #王一博成为洛阳文旅形象大使 #风起洛阳 #王一博百里弘毅 #少年感 追豆小王的微博视频,12
207,#风起洛阳##带着微博去旅行##洛阳老汤# 醉酒后唯有一碗牛肉汤可以治愈风起洛阳,1
208,王一博主演的风起洛阳，看看唐朝房价有多高？#广州买房 #广州#唐朝##风起洛阳##王一博##大湾区买楼团##视频制作人出道计划# 小小吃霸小肥娜的微博视频,8
209,"风云独揽#向日葵##风起洛阳#
向日葵🌻一直都是爱情的象征，向阳而生。
先生 一别数年 别来无恙
先生还是老样子
我知晓先生是个念旧的人
我亦是如此
先生 我心悦你 始终如一 予娴·慕辰的微博视频",10
210,王一博#长空之王啥时候播出# 我又开始刷#风起洛阳#了都,8
211,#王一博##风起洛阳#“拜求诸位先祖，庇佑我儿”共情了 王一啵王炸Boom的微博视频,8
212,"王一博#王一博##风起洛阳#
贞宁十二年，隆冬。于京郊南海子遇邓瑛。是日大雪，满地清白。 白澜君-的微博视频",8
213,"#小狗的观影集#
芜湖 2022年了！我还在磕百里弘毅和七娘！！王一博和宋轶真的好甜好配啊！

风起洛阳真的布景好看，剧情好看！！风起洛阳yyds！！都给我去看！

#影视##风起洛阳# 追剧小狗的微博视频",14
214,祝贺@UNIQ-王一博 和@黄轩 主演的#风起洛阳#入围2021#十大年度国家IP评选#影视赛道，《风起洛阳》讲述盛世之下危机暗涌，神都小分队力排万难守正道、循本心的故事，@UNIQ-王一博 出演的百里弘毅潇洒聪慧，善良果敢。,6
215,破万#小红书##风起洛阳# 郑州·金水区,4
216,还记得#风起洛阳#超神的二十分钟对手戏里的窈娘@张俪 吗？来看看姐姐路透和机场最新动态，身材好好啊，气质也是满分飒爽，希望能有更多好的作品呀 #张俪#,9
217,"洛阳风云起
#婚礼##中式婚礼##庭院婚礼##风起洛阳# 婚礼设计师·乔昕的微博视频",10
218,洛阳#风起洛阳##寻找百年古村# 平乐镇鹞店建于六朝，是洛阳出入黄河门户，历来为驻兵防寇重地。 洛阳·耀店 勒馬聼風的微博视频,1
219,"风起洛阳 好看 大制作
一生得一知己已是幸运
若是不止一个该是多么大的幸事
家国 友情 信任 默契 刚正 坚定 智慧
#风起洛阳#",4
220,发布了头条文章：《拼搭森宝积木画舫，欣赏洛水美景，感受大唐盛世》 #国产积木# #风起洛阳# 积木 拼搭森宝积木画舫，欣赏洛水美景，感受大唐盛世,4
221,洛阳#风起洛阳##寻找百年古村# 孟津送庄镇凤凰台村今称凤台，是洛阳最古老最神秘的村子之一，村南侧的高台古称凤凰台相传是周代遗址，有石碑记载古时曾有凤凰在这里栖息。 洛阳·凤凰台村 勒馬聼風的微博视频,1
222,#冰雨火#我说怎么这么眼熟#风起洛阳#,8
223,#电视剧大赏# 飞来横舅，两个人一同敷衍七娘，七娘难道就从没喝过自己的汤吗#风起洛阳# 网页链接,4
224,#电视剧大赏# 飞来横舅，两个人一同敷衍七娘，七娘难道就从没喝过自己的汤吗#风起洛阳# 网页链接,4
225,"天生万物，各得其法。
功名仕途，不是唯一。
—— 《风起洛阳》
#风起洛阳##王一博风起洛阳##王一博风起洛阳# 极弦乐团的微博视频",8
226,"洛阳#风起洛阳#骑行
洛阳吹别风，龙门起断烟。
李贺 《洛阳城外别皇甫湜》 洛阳·龙门山森林公园",1
227,宋轶柳然#风起洛阳# @宋轶songyi,13
228,"谁说王一博演技不好的？cr:见水印
#王一博# #风起洛阳# 糖果娱的微博视频",8
229,"不愧是宋轶！再一次抢了女主风头！
日前，由王一博、宋茜、黄轩主演的古装悬疑电视剧《风起洛阳》在爱奇艺上线。
拿着女二戏份的宋轶，却在吸睛程度、话题度上完美赶超了女一宋茜。
.
所以，今天就来聊聊，宋轶为啥可以把女配演成女主？
.
1妩媚又单纯的一张脸
宋轶的眼睛特别有灵气，眼距较远显得单纯。
但眼睛头尾都带尖儿，眼型上挑，加上自然的窄双眼皮，精致且具有妩媚的气场，撩人于无形。
鼻子不高，显得温顺又没有攻击性，但鼻尖又增加了一份少女的娇俏。
开阔的额头和圆润幼态的下巴，又中和了眼神的媚，多了一丝亲切朴实感。
总结起来就是“天生媚骨，偏偏长相清纯，我见犹怜”。
所以这样的一张脸来饰演娇俏、清纯的柳然，导演也太有眼光了！
.
2好绝一唐装美人
不得不说，宋轶在这部剧中的古装扮相太美了。
她皮肤白得发光，身材又高挑纤细，这种小骨架的“小鸟身材”让她在各种旗袍造型之间游刃有余。
所以连上身束胸下身蓬松的唐装，都遮掩不住她小巧玲珑的曲线。
.
和王一博的新婚之夜，她手持团扇，蓝色烫金喜服搭配眉心花钿造型，举手投足间尽显大家闺秀气质，温婉典雅。
.
3加分的完美人设
宋轶在剧中饰演的柳然，让网友直呼“这是什么神仙老婆”。
她作为神都名门望族的女儿，既有大家闺秀的知书达理，又有普通小女孩的娇憨和纯真。
一心一意支持夫君百里弘毅查案，努力维护叔父和自己夫君之间的关系。
还把家里打理得井井有条，为他洗手做羹汤，即使夫君家里遭遇变故也不离不弃。
这样出圈的角色，加上宋轶把柳然的“娇憨纯真”“温柔贤惠”演活了，自然成为了剧中的一大亮点。
.
你喜欢宋轶饰演的柳然吗？来评论区聊聊吧~
#风起洛阳 #宋轶 #王一博 #古装悬疑剧 #古装 #表白宋茜 #王一博风起洛阳
娱乐薯",10
230,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
231,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
232,"救命啊，到底是谁给宋茜做的这个头套！
《风起洛阳》开播，最先出圈的是宋茜的头套。
就想问问，在一部看着就很贵的剧里，女主角怎么会有这么敷衍又难看的头套啊！
今天，就和大家细细聊聊“发际线”的那些事儿。
.
1“秃“如其来的痛
数据显示：我国脱发人群超2.5亿，平均6个人中就有1位出现脱发的情况。
发际线就像五官的相框，对于一个人颜值的整体观感有着极大的影响。
过高容易显老，类似于秃顶，过低的话会使脸部轮廓下沉，眉眼局促。
.
发际线的高度与整个面部之间的关系应符合“三庭”的比例：即发际线最高点、眉毛水平线、鼻底与下巴底端这四条水平线将面部纵长划分为三等份。
从形状上来讲，发际线以圆润自然为美，同时，按东方传统审美发际线要起伏有度，形成一个自然的“M形”——即“美人尖”才是最具美感的发际线。
优越的发际线可遇不可求，咱们普通人应该在哪些地方下功夫，来提升发际线与整张脸的美感呢？
.
2别怕，“秃”星人还是有救的！
宋茜这些年来的妆造，就为各位高发际线星人提供了不少变美思路。
细数她一路以来的造型，女团时期多为厚重的刘海，回国发展后变为轻薄空气刘海，以及最近的偏分斜刘海，都很好地弱化了发际线的存在感。
想让头发长出来或许很难，但可以找东西把额头盖上啊！各式各样的帽子、发带、发圈戴起来~
如果还是无法通过妆造手段来改善的发际线问题，那么可以考虑植发。
.
这个时代有太多我们无力治愈的东西，“脱发”已经是最轻的一种症状，我们用它调侃、用它自嘲。
“90后已经开始脱发了”成为热门话题，其实大可不必将其当作某种焦虑，而是这一代人独有的情感共鸣。
.
你打算和发际线和解了吗，在评论区和聊聊呗~
#风起洛阳 #表白宋茜 #发际线 #拯救发际线 #古装 #古装悬疑剧
娱乐薯",4
233,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
234,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
235,洛阳【洛阳故事 金水古道】西出洛阳，跨过金水河，沿着金水古道经新安县的汉函谷关西达长安，由此踏上古老的丝绸之路。金水古道就从今天的纸坊老村穿过，至今仍留有青牛庙、三官庙和地坑窑院等古老遗址。#风起洛阳#,1
236,#冰雨火# 又一次烧脑烧到恍惚觉得周围都是坏人的程度，上一次还是#风起洛阳# 时，王一博作为新生代演员，竟然和老戏骨们一起飙演技而不拉垮，着实难得，演员会演，导演会拍，编剧会编，让我对接下来的剧情充满惶恐期待，六集了，我的怀疑对象已经换过一轮了还毫无头绪,4
237,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
238,"#风起洛阳# 我的评分：
拍摄手法，选景布设都完美！尤其王一博的小百里，太太太绝了，贴合角色，装扮符合朝代风格。演绎完美！大爱小百里。",8
239,"#冰雨火片尾信息量好大#
上一次这么烧脑的时候还是在#风起洛阳#
这次好了，连着看三部剧，两部剧要我脑子，《黑话律师》谁是硕鼠啊？《冰雨火》谁是boss啊？
我脑子好累哦

反正，冰雨火来说，我先怀疑刘队；
反正，上次我的怀疑也没有对过

首先，南城车站，姜磊和他的对话，就有点怪，吴振峰听出来了的。

其次，10万块，姜磊说去赚钱买摩托，什么钱能赚的那么快？刘队没有怀疑，后来还主动让姜磊别告诉他妈妈。

第三，警方去抓李正强，姜磊比东哥都快接到电话通报，说警方往这个方向来了。

多说不说，看剧练脑子真的挺不错哈～

最后，反正陈宇@小宇852058 是好的",8
240,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
241,#风起洛阳# 啊啊啊为什么阿月会死！！为什么！！她可是女主啊！！不应该有女主光环吗！！为什么要死我的阿月，上一秒还说一袭红衣好好看，下一秒就死了？？为什么,4
242,聚力·焕新！耀视界！#微光荣耀入围作品#2022#微博视界大会#微光荣耀五大类别推荐重磅开启，我推荐风起洛阳，助风起洛阳赢取微光盛典“观众喜爱”荣耀！ #王一博风起洛阳##风起洛阳# 百里弘毅脑力担当@UNIQ-王一博 微博视界大会微光荣耀角色推荐,10
243,#娱乐剪辑##风起洛阳 #吃瓜 啊？刚开播就出事 女帝电影的微博视频,11
244,看完《暗夜行者》再看《风起洛阳》是真的人会裂开的！去，苏青竹在暗夜里面有多机敏，柳七娘在风起里就有多傻白甜，真给我气吐了，啊啊啊，还有一声一声的二郎我真的救命啊。就好像脑子里除了二郎二郎就没有别的思维了，恋爱脑真可怕但有一说一，角色不上升演员，宋姐是真的好美，真的美死我了！#风起洛阳#,10
245,"近日，由探案笔记制作发行，爱奇艺热播古装剧#风起洛阳# 同名剧本游戏即将上线。

古装剧《风起洛阳》改编自马伯庸所著的小说《洛阳》，于2021年12月1日在爱奇艺全网独播。讲述了在时值盛世的神都洛阳，出身不同阶层的高秉烛、百里弘毅、武思月因为共同的目标而结盟，调查洛阳各种悬案，最终粉碎春秋道的阴谋，守护神都太平的故事。（来源：探案笔记官微）#风起洛阳同名剧本杀#",4
246,"发布了头条文章：《国产推理剧《民国大侦探》官宣；电视剧《风起洛阳》同名剧本杀上线》

#剧本杀行业资讯# 本周剧本杀市场上都发生了些什么事？今天，就带大家看一下近期的剧本杀行业资讯。#大侦探# #风起洛阳# #正版剧本杀# 国产推理剧《民国大侦探》官宣；电视剧《风起洛阳》同名剧本杀上线",4
247,"#风起洛阳#
风不语 雨却懂
岁月不堪数
古人不如初 洛阳·洛邑古城景区",4
248,当官不为民做主，不如回家卖红薯#洛阳市政府##洛阳身边事##风起洛阳#,1
249,"#风起洛阳同名剧本游戏##风起洛阳# 风起云涌，重聚洛阳！由@探案笔记 制作发行爱奇艺热播古装剧《风起洛阳》同名剧本游戏即将上线！
圣历元年三月，暮色为止，坊外宵禁敲响，城门闭锁！在此天街所有行人都必须在此落脚休憩。其中鱼龙混杂，各方势力汇聚于此。
万事，只待天明！@风起洛阳官微电视剧风起洛阳",4
250,"#第31届中国电视金鹰奖#投票现已开启，为历史古装剧《#风起洛阳#》投出一票吧~！
投票网址：网页链接
改编自马伯庸小说《洛阳》的《风起洛阳》是由谢泽执导，青枚、武聪担任编剧，#黄轩#、#王一博#、#宋茜#等主演。该剧讲述了武周时期发生在神都洛阳的悬疑故事。混迹于洛阳底层的不良井人高秉烛为了复仇卷入悬疑案件，恰逢百里弘毅追查父亲被毒杀真相。世家出身的内卫武思月为了调查任务也在有意接近高秉烛。随着案件真相的不断揭露，一个关乎洛阳存亡的惊天秘密即将浮出水面。金鹰奖黄轩王一博宋茜 中国文艺网的微博视频",1
251,"王一博#风起洛阳##王一博百里弘毅#

I love all the stars in the sky，but they are nothing compared to the ones in your eyes. 我喜欢漫天的星空，可是比起你的眼睛中的那两颗，其他的星星边暗淡无光了。

@UNIQ-王一博",12
252,"#风起洛阳##王一博风起洛阳#
看了《风起洛阳》第1集，忍不住感叹这部剧的服道化真是绝了每一帧都好美～很难不爱这样有质感的大制作。
一博的古装妆造和仪态也好棒，看了第一集虽然一博的戏份不多，但好喜欢小百里这个角色，台词原声听着很适配很舒适啊～～～
追剧",8
253,"角色单人cut#色链分享##风起洛阳#
色链·繁华梦
格式：cube
是教程的那种！不是单纯下载！
有效期3天，zzp三选二发链
专门给《风起洛阳》调的，曝光可适当降低，色彩很浓重
过期则用💰贝勾
原图感谢不修神仙超话",4
254,"#风起洛阳# wyb#王一博百里弘毅#
聚力·焕新！耀视界！2022#微博视界大会#来袭，#微光荣耀入围作品#我推荐风起洛阳，和风起洛阳共同点亮荣耀时刻！ 微博视界大会微光荣耀角色推荐",10
255,"#风起洛阳#
对于这部剧的期待来自于@UNIQ-王一博 没想到把我惊艳住了，台词功底进不了不少，表演也更加自然；其次来自于故事线没想到与长安十二时辰来自同一个作者马伯庸先生。首先对于人物设定非常有意思首先是武思月@宋茜 与武则天有亲密的血缘关系但却秉公执法是好官的代表并且也是三人组里唯一没有功利去查案，她一切的付出全部是为了神都百姓的安康！看到最后我不禁泪目不光是对于她和高秉烛的惋惜更是对那些对国家安全而牺牲的人们深深的感叹！其次是百里弘毅@UNIQ-王一博 加入进来最直白的目的就是查父亲的死从最开始高高在上的公子一步一步开始去了解社会底层人民的生活，他就代表着贵族也表明神都的安宁不会靠贵族，老百姓也是很重要的！最后是高秉烛@黄轩的微博 一个从小在不良井长大的人也从小亲眼目睹了社会底层的黑暗但却依旧保留着满满的正义感很难得的！这个人太过于复杂可分析的点有很多在这里就长话短说了！三人组代表着三方势力如果相互帮助一起努力才有可能使神都安定@宋轶songyi 七娘前面好心疼后面的糖好甜@张俪 你是我这部剧最大的惊喜窈娘原来是坏的太可怕了@风起洛阳官微",6
256,"#风起洛阳# 我的评分：
《风起洛阳》里王一博演的百里弘毅
清冷高贵纯澈的百里公子世无双",8
257,"#风起洛阳# 我的评分：
小百里从叛逆辞官反抗家族联姻到肩挑重担查明真相，逐渐成长为敢想敢干有责任重承诺的弘毅小郎君！王一博演的入戏，我看的也入戏！",8
258,"#风起洛阳# 我的评分：
#风起洛阳# Wyb #王一博风起洛阳#
神都洛阳，翩翩少年郎。
木石之心，情却比人坚。
为父为民，查案从不退。
百里弘毅，盛唐好儿郎。
@UNIQ-王一博",8
259,"宋轶×柳然 丨风起洛阳

#风起洛阳#",13
260,"●○ 空镜 × 风起洛阳

#风起洛阳#",4
261,"#风起洛阳# 我的评分：
🌟亮点推荐：剧情紧凑情节曲折离奇，舍不得快进，百里弘毅太聪明啦！",4
262,"#风起洛阳# 我的评分：
🌟亮点推荐：天生万物，各得其法。功名仕途，不是唯一，王一博的百里弘毅太好了！",8
263,#风起洛阳# 今晚20:00，@爱奇艺 非会员收官大结局！还未修满「神都传奇终章」的居民记得不要迟到啦~评论有惊喜↓↓↓ 抽奖详情,5
264,#你的作品就是看点##风起洛阳#获得2021#新浪看点#年度口碑剧集奖。感谢神都诸人共谱传奇，感谢风起时的每一份支持与喜爱！2021新浪看点年度创作者,10
265,#微博之夜# 来#微博年度剧集# 推荐#风起洛阳# 。重重迷局，探神都共书破疑传奇；泱泱气魄，入洛阳同赏盛世风采。 微博年度剧集,10
266,"#风起洛阳# 启航神州，跨海吹拂🗺️ 海外打卡地更新！
📍马来西亚吉隆坡
📍泰国曼谷 风起洛阳官微的微博视频",10
267,这一段好虐啊！#风起洛阳# 璗姝驪斐的微博视频,10
268,"#风起洛阳微景戏雪元旦祝福# #风起洛阳#
天霁戏新雪，景明迎好风。元旦快乐#华夏古城宇宙#",5
269,#蒋龙变身浪里小白龙# 白浪的风起洛阳之旅告一段落请继续期待一年一度喜剧大赛和三生有幸遇上你吧#idoltube# 蒋龙_Sunday的微博视频,10
270,#这波年货甚好# 辞旧迎新，从1到2#爱奇艺新年贺岁片单# 之#风起洛阳# 前来报到，请领取专属于你的新年好彩头「风生水起」！,4
271,#这波年货甚好# 辞旧迎新，从1到2#爱奇艺新年贺岁片单# 之#风起洛阳# 前来报到，请领取专属于你的新年好彩头「风生水起」！,4
272,#风起洛阳大结局大风预警# 神都大风欲来，阿月正全力前去救援，温馨提示大家安全第一。今晚8点#风起洛阳# 大结局一探究竟。 宋茜的微博视频,5
273,#风起洛阳大反派果然是奉御郎# 震惊下官！！！！最终的大BOSS居然是武攸决，手握大权，已得民心，归藏凤出天下倾，洛阳城难道要易主？#风起洛阳# 《风起洛阳》武攸决身份揭晓,6
274,#百里弘毅探监百里宽仁# 百里大郎二度获罪，这一次谁也救不了他了。百里弘毅看着兄长癫狂的样子，痛心无奈，谁能懂二郎心里的苦？#风起洛阳# 《风起洛阳》百里弘毅探监百里宽仁,7
275,#高秉烛百里弘毅隐藏式对话# #没有百里弘毅解不开的迷# 神都小分队的完美默契配合让神都免除一场浩劫。高秉烛和百里弘毅的加密对话+1#风起洛阳# 《风起洛阳》高秉烛百里弘毅隐藏式对话,6
276,"#风起洛阳# #风起洛阳大结局# 武攸决吐露惊天秘密，身体病重竟是因为自己给自己下毒！武思月与柳然同车而归，途中郑重转交的物件究竟是什么？百里弘毅于酒肆向高秉烛告别，二郎真的要离开神都了吗？疑问重重，今晚20：00@爱奇艺 揭晓答案！#华夏古城宇宙#
风起洛阳 第38集预告",5
277,#高秉烛继续守护神都# #百里弘毅辞官选择离开神都# 风波过后，神都小分队只剩两人，高秉烛将留在神都继续守护城中百姓，百里弘毅则辞官即将远游，二人并肩立于桥上，在一片长街繁华中道别。#风起洛阳# 《风起洛阳》高秉烛百里弘毅南市告别,6
278,#柳然好刚# 柳然亲自出来买米却被百姓指责，还好思月及时赶来解救，直面围堵百姓你一言我一语的责怪，七娘没有退缩，坚定地维护二郎！#风起洛阳# 《风起洛阳》武思月帮柳然解围,4
279,"#风起洛阳# #风起洛阳大结局# 一切落幕，烟火长夜中，看不尽这一场神都繁华，离人在天涯，天涯若比邻，今晚20：00@爱奇艺 《风起洛阳》迎来大结局！#华夏古城宇宙#
风起洛阳 第39集预告",5
280,#高秉烛武思月不良井甜蜜相拥# 神都公务员的约会地点已升级，从棺材铺见面到坟头相会，现在发展到不良井，下官已经很满意了！故地重游，回忆初遇，甜蜜相拥～#风起洛阳# 《风起洛阳》高秉烛武思月回忆两人在不良井初遇情景,6
281,#武思月拔剑指向武攸决# 奉御郎，不要再逼思月了，你醒醒，她是你最疼爱的妹妹啊！#风起洛阳大反派果然是奉御郎# #风起洛阳# 《风起洛阳》武思月陷入自责,6
282,#武思月缉拿武攸决# 收网时刻，月华君带内卫包围春秋道归藏凤，同时也是制服了亲哥哥武攸决。下官被武思月的格局狠狠震慑了~#风起洛阳# 《风起洛阳》武思月缉拿大boss武攸决,6
283,武思月苦口婆心地劝说兄长，提出分担罪责，此时却从角落飞来一支暗箭，#武思月替武攸决挡箭# 思月不顾自身安危替兄长挡下了这一箭，神都不能没有月华君啊。#风起洛阳# 《风起洛阳》武思月死了,6
284,#高秉烛武攸决对峙看燃了# 高秉烛步步紧逼揭露武攸决的真面目，原来高执戟早留了后路，将计就计，引蛇出洞。给高秉烛的机智点个赞！#风起洛阳# 《风起洛阳》高秉烛揭露武攸决阴谋,6
285,#原来李北七也有苦衷# 原来李北七背叛的真相是这样，思月得知真相后伤心不已。奉御郎，你怎么可以如此利用阿月？#风起洛阳大反派果然是奉御郎# #风起洛阳# 《风起洛阳》李北七背叛武思月始末,4
286,神都子民准备好，#圣人南市开仓放粮# 请大家有序排队领取。下官已经拿好圣人爱的号码牌了！#风起洛阳# 《风起洛阳》圣人南市开仓放粮,3
287,"#风起洛阳# #黄轩王一博演绎方言版洛阳# 高秉烛@黄轩的微博 、百里弘毅@UNIQ-王一博 片场上演方言版《风起洛阳》，看得出有在努力尝试用散装河南话说台词了神都居民们来看看中不中呀？#华夏古城宇宙#
《风起洛阳》花絮：黄轩王一博演绎方言版洛阳 王一博：中~！",12
288,神都子民准备好，#圣人南市开仓放粮# 请大家有序排队领取。下官已经拿好圣人爱的号码牌了！#风起洛阳# 《风起洛阳》圣人南市开仓放粮,3
289,"#风起洛阳# #黄轩王一博演绎方言版洛阳# 高秉烛@黄轩的微博 、百里弘毅@UNIQ-王一博 片场上演方言版《风起洛阳》，看得出有在努力尝试用散装河南话说台词了神都居民们来看看中不中呀？#华夏古城宇宙#
《风起洛阳》花絮：黄轩王一博演绎方言版洛阳 王一博：中~！",12
290,"#风起洛阳加更# #风起洛阳#
神都这场环环相扣的棋局，最终胜负究竟如何？
本周三晚八点@爱奇艺 自见分晓。#华夏古城宇宙#",5
291,"#风起洛阳洛阳特辑# #风起洛阳加更#
一座城成全一部剧，一部剧奔赴一座城。
穿越神都这场长风，去感受洛阳这座千年古都，感受它的伟大、活力与浪漫，感受它所承载的华夏灿烂文明。#风起洛阳#
《风起洛阳》洛阳特辑",1
